
# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.57
2                       0.61
4                       0.57
8                       0.61
16                      0.60
32                      0.58
64                      0.57
128                     0.64
256                     0.63
512                     0.90
1024                    0.96
2048                    1.11
4096                    2.03
8192                    2.65
16384                   3.24
32768                   3.95
65536                   6.50
131072                 12.34
262144                 26.26
524288                 49.17
1048576               193.81

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.59
2                       0.60
4                       0.64
8                       0.62
16                      0.52
32                      0.53
64                      0.53
128                     0.66
256                     0.65
512                     0.91
1024                    0.96
2048                    1.11
4096                    2.01
8192                    2.42
16384                   3.11
32768                   4.03
65536                   6.75
131072                 13.02
262144                 28.79
524288                 44.98
1048576               197.62

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.56
2                       0.57
4                       0.53
8                       0.56
16                      0.55
32                      0.59
64                      0.59
128                     0.58
256                     0.68
512                     0.92
1024                    0.94
2048                    1.09
4096                    2.07
8192                    2.32
16384                   2.68
32768                   4.20
65536                   6.59
131072                 12.23
262144                 24.33
524288                 50.46
1048576               249.12

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.94
2                       0.84
4                       0.79
8                       0.77
16                      0.72
32                      0.90
64                      0.61
128                     0.64
256                     0.66
512                     0.96
1024                    1.09
2048                    1.09
4096                    1.97
8192                    2.39
16384                   2.75
32768                   4.10
65536                   7.04
131072                 12.97
262144                 28.62
524288                 64.55
1048576               254.85

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.57
2                       0.55
4                       0.55
8                       0.56
16                      0.54
32                      0.54
64                      0.55
128                     0.71
256                     0.63
512                     0.87
1024                    1.08
2048                    1.08
4096                    2.16
8192                    2.40
16384                   2.98
32768                   4.41
65536                   7.69
131072                 13.90
262144                 24.51
524288                 64.66
1048576               275.91

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.61
2                       0.56
4                       0.54
8                       0.64
16                      0.58
32                      0.60
64                      0.57
128                     0.90
256                     0.65
512                     0.96
1024                    0.95
2048                    1.07
4096                    1.99
8192                    2.38
16384                   2.75
32768                   4.59
65536                   6.64
131072                 12.20
262144                 23.56
524288                 50.19
1048576               209.65

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.54
2                       0.52
4                       0.51
8                       0.57
16                      0.52
32                      0.51
64                      0.53
128                     0.58
256                     0.60
512                     0.89
1024                    2.45
2048                    1.28
4096                    2.07
8192                    2.44
16384                   2.69
32768                   4.49
65536                   6.63
131072                 12.65
262144                 25.69
524288                 54.63
1048576               191.78

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.55
2                       0.52
4                       0.51
8                       0.50
16                      0.54
32                      0.58
64                      0.64
128                     0.60
256                     0.62
512                     0.93
1024                    1.10
2048                    1.17
4096                    1.93
8192                    2.19
16384                   2.83
32768                   3.80
65536                   6.37
131072                 11.77
262144                 24.75
524288                 47.70
1048576               204.26

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.51
2                       0.52
4                       0.57
8                       0.58
16                      0.57
32                      0.59
64                      0.58
128                     0.60
256                     0.59
512                     0.97
1024                    0.97
2048                    1.13
4096                    2.08
8192                    2.19
16384                   2.81
32768                   4.17
65536                   6.70
131072                 12.22
262144                 24.14
524288                 50.42
1048576               214.98

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.79
2                       2.22
4                       3.18
8                       0.61
16                      4.29
32                      0.67
64                      0.68
128                     0.67
256                     0.66
512                     2.95
1024                    1.99
2048                    1.26
4096                    2.08
8192                    2.45
16384                   3.16
32768                   5.27
65536                  10.71
131072                 13.12
262144                 24.72
524288                 50.12
1048576               441.54

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.53
2                       0.49
4                       0.49
8                       0.51
16                      0.55
32                      0.55
64                      0.55
128                     0.60
256                     0.66
512                     0.90
1024                    0.93
2048                    1.06
4096                    1.86
8192                    2.41
16384                   3.13
32768                   3.91
65536                   6.79
131072                 12.76
262144                 24.15
524288                 52.33
1048576               191.45

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.73
2                       0.69
4                       0.66
8                       0.65
16                      0.72
32                      0.62
64                      0.62
128                     0.65
256                     0.63
512                     0.92
1024                    1.03
2048                    1.29
4096                    2.02
8192                    2.19
16384                   3.06
32768                   3.76
65536                   6.59
131072                 13.35
262144                 23.80
524288                 48.51
1048576               210.21

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.81
2                       0.67
4                       0.82
8                       0.67
16                      0.64
32                      0.65
64                      0.91
128                    18.58
256                     5.86
512                     1.07
1024                    1.13
2048                    1.43
4096                    2.26
8192                    2.53
16384                   3.04
32768                   4.32
65536                   6.85
131072                 12.92
262144                 25.62
524288                 53.70
1048576               369.85

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.56
2                       0.55
4                       0.51
8                       0.53
16                      0.59
32                      0.56
64                      0.59
128                     0.57
256                     0.58
512                     0.97
1024                    0.97
2048                    1.09
4096                    1.91
8192                    2.41
16384                   2.95
32768                   4.02
65536                   7.63
131072                 12.30
262144                 26.44
524288                 90.87
1048576               272.36

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.57
2                       0.65
4                       0.64
8                       0.52
16                      0.53
32                      0.56
64                      0.56
128                     0.62
256                     0.64
512                     0.88
1024                    0.94
2048                    1.23
4096                    1.94
8192                    2.33
16384                   3.22
32768                   3.86
65536                   6.58
131072                 12.73
262144                 25.22
524288                 58.63
1048576               306.90

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.57
2                       0.56
4                       0.53
8                       0.62
16                      0.70
32                      3.53
64                      0.72
128                     0.62
256                     0.94
512                     1.04
1024                    1.27
2048                    1.33
4096                   10.41
8192                    9.49
16384                  21.64
32768                   6.13
65536                   7.37
131072                 15.02
262144                 51.42
524288                 89.14
1048576               268.80

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.53
2                       0.50
4                       0.51
8                       0.50
16                      0.52
32                      0.55
64                      0.58
128                     0.62
256                     0.62
512                     0.85
1024                    0.91
2048                    1.14
4096                    1.97
8192                    2.23
16384                   2.69
32768                   4.00
65536                   7.13
131072                 12.14
262144                 26.65
524288                 49.66
1048576               209.13

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.54
2                       0.58
4                       0.55
8                       0.54
16                      0.56
32                      1.39
64                      0.68
128                     4.91
256                     1.39
512                     1.08
1024                    2.46
2048                   17.25
4096                    5.39
8192                    7.93
16384                   4.08
32768                   5.55
65536                  21.61
131072                 14.33
262144                 56.93
524288                 62.51
1048576               226.13

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.79
2                       1.63
4                       0.75
8                       0.69
16                      0.69
32                      0.80
64                      0.76
128                     0.78
256                     0.72
512                     0.90
1024                    0.92
2048                    1.02
4096                    2.39
8192                    3.06
16384                   3.73
32768                   6.42
65536                  11.44
131072                 22.53
262144                 46.05
524288                 74.45
1048576               286.31

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.50
2                       0.52
4                       0.51
8                       0.53
16                      0.53
32                      0.54
64                      0.57
128                     0.61
256                     0.62
512                     0.85
1024                    0.99
2048                    1.21
4096                    2.05
8192                    2.26
16384                   2.66
32768                   4.83
65536                  28.77
131072                 19.31
262144                 65.39
524288                 48.98
1048576               267.99
