
# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.42
2                       0.38
4                       0.47
8                       0.38
16                      0.40
32                      0.42
64                      0.43
128                     0.42
256                     0.43
512                     0.63
1024                    0.66
2048                    0.76
4096                    2.30
8192                    2.78
16384                   3.80
32768                   6.30
65536                   7.68
131072                 12.08
262144                 24.41
524288                 51.19
1048576               193.75

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.35
2                       0.30
4                       1.53
8                       0.33
16                      0.33
32                      0.33
64                      0.31
128                     0.42
256                     0.42
512                     0.69
1024                    0.80
2048                    0.93
4096                    1.80
8192                    2.03
16384                   2.50
32768                   3.97
65536                   6.52
131072                 37.03
262144                 65.62
524288                 91.22
1048576               224.05

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.34
2                       0.32
4                       0.37
8                       0.41
16                      0.57
32                      0.42
64                      0.43
128                     0.38
256                     0.39
512                     0.64
1024                    0.71
2048                    0.86
4096                    1.70
8192                    1.93
16384                   2.65
32768                   6.21
65536                   6.38
131072                 12.43
262144                 23.85
524288                 47.57
1048576               205.37

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.31
2                       0.33
4                       0.31
8                       0.31
16                      0.32
32                      0.32
64                      0.31
128                     0.41
256                     0.41
512                     0.58
1024                    0.70
2048                    0.85
4096                    2.02
8192                    2.94
16384                   2.74
32768                   3.66
65536                   6.60
131072                 12.62
262144                 25.26
524288                115.20
1048576               299.90

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.35
2                       0.34
4                       0.31
8                       0.28
16                      0.33
32                      0.34
64                      0.34
128                     0.37
256                     0.71
512                     0.62
1024                    0.75
2048                    0.82
4096                    1.81
8192                    2.16
16384                   2.65
32768                   4.19
65536                   7.18
131072                 11.93
262144                 66.53
524288                 62.94
1048576               364.20

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.31
2                       0.30
4                       0.34
8                       0.33
16                      0.31
32                      0.33
64                      0.33
128                     0.41
256                     0.40
512                     0.65
1024                    7.45
2048                    0.77
4096                    1.65
8192                    2.45
16384                   3.00
32768                   3.86
65536                   6.86
131072                 12.88
262144                 24.15
524288                 47.36
1048576               206.97

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.30
2                       0.29
4                       0.30
8                       0.32
16                      0.29
32                      0.35
64                      0.39
128                     0.39
256                     0.44
512                     0.75
1024                    0.74
2048                    0.87
4096                    1.77
8192                    2.13
16384                   2.77
32768                   4.26
65536                  39.90
131072                 12.23
262144                 23.16
524288                 46.57
1048576               640.57

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.38
2                       0.41
4                       0.82
8                       0.32
16                      0.36
32                      0.35
64                      0.36
128                     0.40
256                     0.42
512                     0.66
1024                    0.85
2048                    0.90
4096                    1.88
8192                    2.55
16384                   2.81
32768                   3.55
65536                   6.46
131072                 11.89
262144                 28.67
524288                 61.86
1048576               194.50

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.30
2                       0.85
4                       1.76
8                       0.34
16                      0.76
32                      0.33
64                      0.36
128                     0.40
256                     0.40
512                     0.62
1024                    0.72
2048                    0.82
4096                    1.74
8192                    1.98
16384                   2.43
32768                   3.65
65536                   5.96
131072                 11.48
262144                 24.02
524288                 53.89
1048576               192.47

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.27
2                       0.31
4                       0.29
8                       0.34
16                      0.32
32                      0.34
64                      0.30
128                     0.39
256                     0.39
512                     0.60
1024                    0.67
2048                    0.79
4096                    1.65
8192                    1.95
16384                   2.39
32768                   3.68
65536                   6.05
131072                 12.46
262144                 24.34
524288                 45.52
1048576               200.37

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.29
2                       0.36
4                       0.34
8                       0.35
16                      0.33
32                      0.33
64                      0.34
128                     0.39
256                     0.42
512                     1.06
1024                    0.82
2048                    4.83
4096                    1.76
8192                    3.66
16384                   3.54
32768                   3.83
65536                   7.08
131072                 12.44
262144                 25.02
524288                152.74
1048576               340.74

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.29
2                       0.29
4                       0.28
8                       0.29
16                      0.29
32                      0.30
64                      0.32
128                     0.35
256                     0.36
512                     0.56
1024                    0.67
2048                    0.77
4096                    1.65
8192                    1.91
16384                   2.58
32768                   3.52
65536                   5.85
131072                 11.66
262144                 23.37
524288                 46.44
1048576               187.47

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.29
2                       0.30
4                       0.28
8                       0.29
16                      0.31
32                      0.30
64                      0.31
128                     0.40
256                     0.43
512                     0.63
1024                    0.69
2048                    0.78
4096                    1.64
8192                    1.97
16384                   2.64
32768                   4.01
65536                   6.64
131072                 11.98
262144                 24.42
524288                 46.72
1048576               212.28

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.35
2                       0.38
4                       0.36
8                       0.29
16                      0.31
32                      0.34
64                      0.31
128                     0.35
256                     0.38
512                     0.62
1024                    0.71
2048                    0.82
4096                    1.74
8192                    1.93
16384                   2.40
32768                   3.84
65536                   6.18
131072                 11.89
262144                 23.79
524288                 47.32
1048576               209.47

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.30
2                       0.30
4                       0.33
8                       0.30
16                      0.30
32                      0.30
