Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.66]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.127]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.28
2                      40.61
4                      50.20
8                      48.92
16                     42.38
32                     42.67
64                     40.38
128                    40.08
256                    39.27
512                    40.16
1024                   40.14
2048                   60.81
4096                   72.48
8192                  102.82
16384                 157.21
32768                 267.70
65536                 517.84
131072                970.69
262144               1669.55
524288               3435.51
1048576              6699.21
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.129]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.67]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.88
2                      43.91
4                      46.31
8                      44.91
16                     41.64
32                     39.57
64                     44.70
128                    43.70
256                    51.75
512                    51.18
1024                   44.58
2048                   62.74
4096                   73.90
8192                   98.84
16384                 149.01
32768                 253.85
65536                 703.59
131072               1003.12
262144               1895.59
524288               3480.84
1048576              7246.42
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.131]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.68]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.17
2                      41.99
4                      41.31
8                      40.41
16                     41.97
32                     43.71
64                     42.26
128                    43.18
256                    41.66
512                    42.52
1024                   47.08
2048                   62.01
4096                   72.50
8192                  106.46
16384                 170.23
32768                 259.58
65536                 566.05
131072               1094.61
262144               2100.85
524288               3942.40
1048576              7549.89
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.69]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.133]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      40.41
2                      41.11
4                      39.97
8                      42.32
16                     38.99
32                     42.47
64                     40.28
128                    42.25
256                    42.75
512                    43.23
1024                   40.18
2048                   61.17
4096                   82.00
8192                  105.18
16384                 149.88
32768                 272.37
65536                 694.47
131072               1171.36
262144               2231.53
524288               4116.60
1048576              6600.33
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.70]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.136]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.15
2                      40.11
4                      39.39
8                      43.26
16                     41.88
32                     41.69
64                     41.80
128                    40.45
256                    45.93
512                    44.32
1024                   42.56
2048                   64.02
4096                   81.22
8192                  105.02
16384                 146.10
32768                 249.20
65536                 477.29
131072                785.30
262144               1742.01
524288               2855.62
1048576              6666.41
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.137]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.71]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      38.57
2                      39.00
4                      38.70
8                      43.06
16                     43.16
32                     44.95
64                     43.25
128                    39.86
256                    38.72
512                    40.06
1024                   41.51
2048                   61.12
4096                   75.04
8192                  103.36
16384                 154.61
32768                 251.56
65536                 556.84
131072               1049.47
262144               2060.19
524288               3665.53
1048576              7049.71
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.139]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.72]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.89
2                      40.91
4                      42.33
8                      49.11
16                     42.14
32                     41.25
64                     41.16
128                    43.18
256                    43.80
512                    48.49
1024                   61.56
2048                   61.30
4096                   80.19
8192                   98.70
16384                 152.80
32768                 263.78
65536                 602.13
131072               1123.64
262144               1693.60
524288               3846.61
1048576              7066.09
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.141]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.73]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.26
2                      40.81
4                      37.88
8                      37.87
16                     40.21
32                     38.51
64                     39.09
128                    40.29
256                    39.48
512                    57.00
1024                   55.55
2048                   64.65
4096                  104.26
8192                   95.71
16384                 142.33
32768                 237.48
65536                 496.37
131072                849.72
262144               1891.17
524288               3812.15
1048576              6751.40
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.74]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.143]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.84
2                      39.68
4                      39.76
8                      39.72
16                     39.06
32                     40.28
64                     43.58
128                    42.46
256                    41.28
512                    45.35
1024                   42.11
2048                   64.42
4096                   73.90
8192                  102.34
16384                 172.63
32768                 302.14
65536                 625.92
131072                957.64
262144               2060.18
524288               3181.62
1048576              5585.38
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.145]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.75]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      42.30
2                      41.49
4                      41.37
8                      41.37
16                     39.04
32                     46.80
64                     39.75
128                    38.67
256                    41.45
512                    42.15
1024                   43.58
2048                   68.11
4096                   75.66
8192                  121.29
16384                 160.04
32768                 255.01
65536                 530.93
131072                924.30
262144               1809.70
524288               3825.74
1048576              7528.31
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.148]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.76]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.60
2                      41.91
4                      40.40
8                      43.04
16                     40.72
32                     41.98
64                     45.21
128                    41.24
256                    40.85
512                    42.98
1024                   44.52
2048                   62.18
4096                   74.91
8192                  107.39
16384                 150.99
32768                 262.77
65536                 644.52
131072               1125.90
262144               2299.25
524288               4256.39
1048576              6903.35
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.149]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.77]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      44.21
2                      41.73
4                      43.64
8                      40.81
16                     40.91
32                     41.49
64                     41.02
128                    42.33
256                    42.67
512                    44.21
1024                   41.52
2048                   63.77
4096                   79.27
8192                  116.54
16384                 167.51
32768                 264.35
65536                 687.84
131072               1031.74
262144               1622.65
524288               3339.47
1048576              7367.06
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.151]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.78]:2222' (ECDSA) to the list of known hosts.

# OSU MPI Allgather Latency Test v7.3
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                      41.96
2                      41.13
4                      41.31
