Size,Latency(us),Benchmark
4,0.45,latency-1-node-baremetal-calico-CNI
8,0.47,latency-1-node-baremetal-calico-CNI
16,0.48,latency-1-node-baremetal-calico-CNI
32,0.57,latency-1-node-baremetal-calico-CNI
64,0.57,latency-1-node-baremetal-calico-CNI
128,0.61,latency-1-node-baremetal-calico-CNI
256,0.65,latency-1-node-baremetal-calico-CNI
512,0.65,latency-1-node-baremetal-calico-CNI
1024,0.73,latency-1-node-baremetal-calico-CNI
2048,0.86,latency-1-node-baremetal-calico-CNI
4096,1.34,latency-1-node-baremetal-calico-CNI
8192,1.89,latency-1-node-baremetal-calico-CNI
16384,2.26,latency-1-node-baremetal-calico-CNI
32768,3.27,latency-1-node-baremetal-calico-CNI
65536,5.05,latency-1-node-baremetal-calico-CNI
131072,9.14,latency-1-node-baremetal-calico-CNI
262144,18.32,latency-1-node-baremetal-calico-CNI
524288,36.26,latency-1-node-baremetal-calico-CNI
1048576,72.77,latency-1-node-baremetal-calico-CNI
2097152,226.01,latency-1-node-baremetal-calico-CNI
4194304,568.75,latency-1-node-baremetal-calico-CNI
2,0.42,latency-1-node-baremetal-calico-CNI
4,0.43,latency-1-node-baremetal-calico-CNI
8,0.44,latency-1-node-baremetal-calico-CNI
16,0.47,latency-1-node-baremetal-calico-CNI
32,0.53,latency-1-node-baremetal-calico-CNI
64,0.53,latency-1-node-baremetal-calico-CNI
128,0.55,latency-1-node-baremetal-calico-CNI
256,0.57,latency-1-node-baremetal-calico-CNI
512,0.63,latency-1-node-baremetal-calico-CNI
1024,0.7,latency-1-node-baremetal-calico-CNI
2048,0.8,latency-1-node-baremetal-calico-CNI
4096,1.12,latency-1-node-baremetal-calico-CNI
8192,1.74,latency-1-node-baremetal-calico-CNI
16384,2.56,latency-1-node-baremetal-calico-CNI
32768,3.01,latency-1-node-baremetal-calico-CNI
65536,5.3,latency-1-node-baremetal-calico-CNI
131072,8.73,latency-1-node-baremetal-calico-CNI
262144,17.07,latency-1-node-baremetal-calico-CNI
524288,35.37,latency-1-node-baremetal-calico-CNI
1048576,69.58,latency-1-node-baremetal-calico-CNI
2097152,226.75,latency-1-node-baremetal-calico-CNI
4194304,567.9,latency-1-node-baremetal-calico-CNI
2,0.41,latency-1-node-baremetal-calico-CNI
4,0.39,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.41,latency-1-node-baremetal-calico-CNI
32,0.49,latency-1-node-baremetal-calico-CNI
64,0.48,latency-1-node-baremetal-calico-CNI
128,0.51,latency-1-node-baremetal-calico-CNI
256,0.54,latency-1-node-baremetal-calico-CNI
512,0.59,latency-1-node-baremetal-calico-CNI
1024,0.64,latency-1-node-baremetal-calico-CNI
2048,0.95,latency-1-node-baremetal-calico-CNI
4096,1.05,latency-1-node-baremetal-calico-CNI
8192,1.59,latency-1-node-baremetal-calico-CNI
16384,2.07,latency-1-node-baremetal-calico-CNI
32768,2.81,latency-1-node-baremetal-calico-CNI
65536,4.53,latency-1-node-baremetal-calico-CNI
131072,7.9,latency-1-node-baremetal-calico-CNI
262144,15.94,latency-1-node-baremetal-calico-CNI
524288,31.78,latency-1-node-baremetal-calico-CNI
1048576,64.01,latency-1-node-baremetal-calico-CNI
2097152,229.34,latency-1-node-baremetal-calico-CNI
4194304,591.58,latency-1-node-baremetal-calico-CNI
2,0.41,latency-1-node-baremetal-calico-CNI
4,0.41,latency-1-node-baremetal-calico-CNI
8,0.42,latency-1-node-baremetal-calico-CNI
16,0.43,latency-1-node-baremetal-calico-CNI
32,0.5,latency-1-node-baremetal-calico-CNI
64,0.49,latency-1-node-baremetal-calico-CNI
128,0.52,latency-1-node-baremetal-calico-CNI
256,0.55,latency-1-node-baremetal-calico-CNI
512,0.58,latency-1-node-baremetal-calico-CNI
1024,0.7,latency-1-node-baremetal-calico-CNI
2048,0.76,latency-1-node-baremetal-calico-CNI
4096,1.08,latency-1-node-baremetal-calico-CNI
8192,1.66,latency-1-node-baremetal-calico-CNI
16384,1.99,latency-1-node-baremetal-calico-CNI
32768,2.79,latency-1-node-baremetal-calico-CNI
65536,4.47,latency-1-node-baremetal-calico-CNI
131072,7.99,latency-1-node-baremetal-calico-CNI
262144,16.31,latency-1-node-baremetal-calico-CNI
524288,31.97,latency-1-node-baremetal-calico-CNI
1048576,66.66,latency-1-node-baremetal-calico-CNI
2097152,224.05,latency-1-node-baremetal-calico-CNI
4194304,578.32,latency-1-node-baremetal-calico-CNI
2,0.41,latency-1-node-baremetal-calico-CNI
4,0.38,latency-1-node-baremetal-calico-CNI
8,0.4,latency-1-node-baremetal-calico-CNI
16,0.41,latency-1-node-baremetal-calico-CNI
32,0.48,latency-1-node-baremetal-calico-CNI
64,0.48,latency-1-node-baremetal-calico-CNI
128,0.55,latency-1-node-baremetal-calico-CNI
256,0.61,latency-1-node-baremetal-calico-CNI
