# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.42
2                       0.38
4                       0.39
8                       0.40
16                      0.41
32                      0.50
64                      0.48
128                     0.55
256                     0.54
512                     0.58
1024                    0.63
2048                    0.74
4096                    1.05
8192                    1.56
16384                   1.96
32768                   2.70
65536                   4.92
131072                  7.93
262144                 15.40
524288                 30.49
1048576                63.38
2097152               216.35
4194304               568.34
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.40
2                       0.42
4                       0.42
8                       0.43
16                      0.43
32                      0.51
64                      0.50
128                     0.53
256                     0.68
512                     0.59
1024                    0.64
2048                    0.76
4096                    1.07
8192                    1.66
16384                   1.98
32768                   2.83
65536                   4.64
131072                  8.08
262144                 15.97
524288                 31.26
1048576                64.73
2097152               220.03
4194304               562.86
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.40
2                       0.39
4                       0.39
8                       0.41
16                      0.41
32                      0.50
64                      0.49
128                     0.55
256                     0.61
512                     0.61
1024                    0.66
2048                    0.77
4096                    1.10
8192                    1.62
16384                   2.05
32768                   2.83
65536                   4.40
131072                  7.90
262144                 15.87
524288                 30.71
1048576                64.81
2097152               213.94
4194304               556.43
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.39
2                       0.39
4                       0.39
8                       0.40
16                      0.41
32                      0.49
64                      0.47
128                     0.51
256                     0.52
512                     0.56
1024                    0.61
2048                    0.73
4096                    1.04
8192                    1.58
16384                   1.91
32768                   2.59
65536                   4.27
131072                  7.59
262144                 15.44
524288                 30.55
1048576                67.18
2097152               219.75
4194304               564.00
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.39
2                       0.40
4                       0.40
8                       0.41
16                      0.41
32                      0.49
64                      0.49
128                     0.51
256                     0.53
512                     0.56
1024                    0.65
2048                    0.91
4096                    1.08
8192                    1.60
16384                   1.91
32768                   2.76
65536                   4.31
131072                  7.70
262144                 15.49
524288                 30.66
1048576                64.28
2097152               215.25
4194304               553.13
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.39
4                       0.38
8                       0.39
16                      0.39
32                      0.45
64                      0.45
128                     0.49
256                     0.51
512                     0.56
1024                    0.61
2048                    0.75
4096                    1.04
8192                    1.66
16384                   2.06
32768                   2.58
65536                   4.39
131072                  7.39
262144                 14.87
524288                 30.39
1048576                59.55
2097152               216.92
4194304               567.62
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.39
4                       0.40
8                       0.39
16                      0.42
32                      0.48
64                      0.47
128                     0.50
256                     0.52
512                     0.56
1024                    0.63
2048                    0.72
4096                    1.02
8192                    1.57
16384                   1.93
32768                   2.58
65536                   4.26
131072                  7.73
262144                 15.96
524288                 29.91
1048576                60.98
2097152               216.88
4194304               557.66
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.39
4                       0.38
8                       0.38
16                      0.40
32                      0.47
64                      0.47
128                     0.51
256                     0.52
512                     0.55
1024                    0.61
2048                    0.72
4096                    1.02
8192                    1.61
16384                   1.90
32768                   2.69
65536                   4.27
131072                  7.48
262144                 14.60
524288                 29.06
1048576                63.26
2097152               215.46
4194304               564.32
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.37
2                       0.37
4                       0.37
8                       0.38
16                      0.39
32                      0.46
64                      0.44
128                     0.49
256                     0.50
512                     0.55
1024                    0.60
2048                    0.71
4096                    1.06
8192                    1.55
16384                   1.99
32768                   2.66
65536                   4.35
131072                  7.60
262144                 15.08
524288                 29.80
1048576                60.45
2097152               224.14
4194304               563.37
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.37
2                       0.38
4                       0.38
8                       0.39
16                      0.39
32                      0.46
64                      0.48
128                     0.48
256                     0.53
512                     0.54
1024                    0.60
2048                    0.72
4096                    1.01
8192                    1.58
16384                   1.86
32768                   2.76
65536                   4.48
131072                  7.46
262144                 15.31
524288                 29.52
1048576                62.61
2097152               211.28
4194304               572.08
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.41
2                       0.39
4                       0.38
8                       0.38
16                      0.39
32                      0.46
64                      0.46
128                     0.48
256                     0.50
512                     0.54
1024                    0.60
2048                    0.70
4096                    0.98
8192                    1.53
16384                   1.87
32768                   2.54
65536                   4.14
131072                  7.30
262144                 14.38
524288                 28.82
1048576                60.18
2097152               223.39
4194304               570.03
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.38
4                       0.38
8                       0.38
16                      0.41
32                      0.48
64                      0.45
128                     0.49
256                     0.50
512                     0.54
1024                    0.61
2048                    0.71
4096                    1.02
8192                    1.55
16384                   1.81
32768                   2.55
65536                   4.09
131072                  7.70
262144                 14.65
524288                 31.02
1048576                63.49
2097152               220.73
4194304               581.17
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.41
4                       0.41
8                       0.38
16                      0.38
32                      0.45
64                      0.47
128                     0.50
256                     0.51
512                     0.55
1024                    0.61
2048                    0.70
4096                    1.00
8192                    1.56
16384                   2.03
32768                   2.66
65536                   4.28
131072                  7.59
262144                 14.94
524288                 29.49
1048576                60.59
2097152               219.93
4194304               570.61
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.39
4                       0.40
8                       0.40
16                      0.39
32                      0.46
64                      0.46
128                     0.51
256                     0.51
512                     0.56
1024                    0.64
2048                    0.71
4096                    1.02
8192                    1.57
16384                   1.89
32768                   2.56
65536                   4.01
131072                  7.22
262144                 14.39
524288                 30.57
