# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.40
2                       0.42
4                       0.37
8                       0.45
16                      0.56
32                      0.37
64                      0.37
128                     0.40
256                     0.41
512                     0.55
1024                    0.58
2048                    0.63
4096                    1.50
8192                    3.52
16384                   1.84
32768                   2.64
65536                   4.28
131072                  7.16
262144                 35.43
524288                 83.82
1048576                61.45
2097152               246.27
4194304               671.93
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.39
2                       0.37
4                       0.38
8                       0.37
16                      0.39
32                      0.38
64                      0.40
128                     0.41
256                     0.45
512                     0.55
1024                    0.57
2048                    0.69
4096                    1.26
8192                    1.40
16384                   1.90
32768                   2.60
65536                   4.67
131072                  7.55
262144                 22.93
524288                 57.70
1048576                91.03
2097152               245.47
4194304               713.14
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.38
2                       0.43
4                       0.40
8                       0.41
16                      0.40
32                      0.90
64                      0.39
128                     0.43
256                     0.52
512                     0.52
1024                    0.61
2048                    0.69
4096                    1.84
8192                    1.44
16384                   1.87
32768                   2.58
65536                   4.20
131072                  7.25
262144                 15.78
524288                 47.27
1048576               171.75
2097152               318.59
4194304               658.13
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.39
2                       0.38
4                       0.39
8                       0.36
16                      0.51
32                      0.40
64                      0.39
128                     0.41
256                     0.45
512                     0.54
1024                    0.59
2048                    1.29
4096                    1.65
8192                    1.42
16384                   2.34
32768                   2.78
65536                   3.98
131072                  7.84
262144                 14.53
524288                 29.14
1048576                67.39
2097152               271.44
4194304               703.35
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.45
2                       0.38
4                       0.39
8                       0.60
16                      0.38
32                      0.39
64                      0.39
128                     0.43
256                     0.48
512                     0.55
1024                    2.32
2048                    0.92
4096                    1.32
8192                    1.52
16384                   1.86
32768                   2.78
65536                   4.03
131072                  7.32
262144                 14.89
524288                 29.15
1048576                67.18
2097152               289.38
4194304               719.52
# OSU MPI Latency Test v7.3
# Size          Latency (us)
