# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.23
4                       0.23
8                       0.25
16                      0.26
32                      0.26
64                      0.45
128                     0.30
256                     0.47
512                     0.43
1024                    0.70
2048                    0.63
4096                    1.28
8192                    1.26
16384                   1.71
32768                   2.26
65536                   3.90
131072                  6.98
262144                 14.12
524288                 28.06
1048576                63.28
2097152               247.87
4194304               550.17
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.54
2                       0.26
4                       0.26
8                       0.35
16                      0.30
32                      0.26
64                      0.28
128                     0.34
256                     0.44
512                     0.47
1024                    0.53
2048                    0.63
4096                    1.16
8192                    1.33
16384                   1.64
32768                   2.33
65536                   3.69
131072                  6.85
262144                 14.41
524288                 29.04
1048576                68.32
2097152               237.36
4194304               595.24
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.23
4                       0.31
8                       0.24
16                      0.28
32                      0.25
64                      0.25
128                     0.30
256                     0.31
512                     0.40
1024                    0.50
2048                    0.60
4096                    1.48
8192                    1.51
16384                   1.71
32768                   3.07
65536                   4.10
131072                  7.02
262144                 15.26
524288                 36.45
1048576                68.79
2097152               270.40
4194304               581.05
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.22
2                       0.22
4                       0.22
8                       0.22
16                      0.23
32                      0.23
64                      0.23
128                     0.29
256                     0.30
512                     0.40
1024                    0.52
2048                    0.62
4096                    1.09
8192                    1.24
16384                   1.64
32768                   2.31
65536                   3.89
131072                  7.19
262144                 15.82
524288                 28.09
1048576                88.82
2097152               244.71
4194304               604.54
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.25
2                       0.23
4                       0.25
8                       0.23
16                      0.26
32                      0.25
64                      0.26
128                     0.31
256                     0.31
512                     0.43
1024                    0.49
2048                    0.62
4096                    1.10
8192                    1.26
16384                   1.70
32768                   2.32
65536                   3.96
131072                  7.06
262144                 14.48
524288                 28.91
1048576                82.16
2097152               239.76
4194304               618.60
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.24
4                       0.23
8                       0.22
16                      0.24
32                      0.25
64                      0.24
128                     0.28
256                     0.41
512                     0.44
1024                    0.49
2048                    0.62
4096                    1.08
8192                    1.28
16384                   1.68
32768                   2.35
65536                   3.92
131072                  6.91
262144                 14.07
524288                 31.86
1048576                72.81
2097152               234.24
4194304               572.53
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.26
2                       0.26
4                       0.25
8                       0.44
16                      0.46
32                      0.35
64                      0.37
128                     0.31
256                     0.32
512                     0.42
1024                    0.50
2048                    0.60
4096                    1.08
8192                    1.26
16384                   1.69
32768                   2.31
65536                   4.06
131072                  6.77
262144                 15.28
524288                 28.00
1048576                68.22
2097152               253.99
4194304               594.38
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.28
2                       0.27
4                       0.25
8                       0.24
16                      0.26
32                      0.30
64                      0.25
128                     0.29
256                     0.30
512                     0.43
1024                    0.51
2048                    0.59
4096                    1.06
8192                    1.24
16384                   1.64
32768                   2.38
65536                   3.86
131072                  7.28
262144                 14.44
524288                 29.06
1048576                68.05
2097152               234.60
4194304               567.94
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.23
4                       0.22
8                       0.22
16                      0.24
32                      0.24
64                      0.24
128                     0.28
256                     0.41
512                     0.81
1024                    0.65
2048                    0.64
4096                    1.11
8192                    1.21
16384                   4.19
32768                   2.50
65536                   4.07
131072                  6.83
262144                 13.90
524288                 29.91
1048576                59.42
2097152               239.14
4194304               564.66
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.26
2                       0.26
4                       0.25
8                       0.25
16                      0.26
32                      0.26
64                      0.25
128                     0.29
256                     0.35
512                     0.43
1024                    0.47
2048                    0.60
4096                    1.12
8192                    1.26
16384                   1.62
32768                   2.23
65536                   3.68
131072                  6.81
262144                 14.06
524288                 27.20
1048576                64.81
2097152               236.76
4194304               572.82
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.22
4                       0.23
8                       0.23
16                      0.40
32                      0.32
64                      0.24
128                     0.31
256                     0.30
512                     0.41
1024                    0.49
2048                    0.57
4096                    1.10
8192                    1.17
16384                   1.68
32768                   2.33
65536                   3.68
131072                  6.90
262144                 14.04
524288                 30.77
1048576                88.81
2097152               238.10
4194304               590.95
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.39
2                       0.24
4                       0.23
8                       0.23
16                      0.26
32                      0.24
64                      0.34
128                     0.32
256                     0.34
512                     0.43
1024                    0.51
2048                    0.58
4096                    1.08
8192                    1.24
16384                   1.68
32768                   2.30
65536                   3.70
131072                  7.24
262144                 14.06
524288                 29.97
1048576                68.22
2097152               250.85
4194304               568.06
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.23
4                       0.24
8                       0.26
16                      0.26
32                      0.25
64                      0.24
128                     0.29
256                     0.30
512                     0.42
1024                    0.49
2048                    0.57
4096                    1.12
8192                    1.25
16384                   1.64
32768                   2.32
65536                   3.71
131072                  7.24
262144                 16.54
524288                 40.57
1048576                76.65
2097152               218.44
4194304               575.58
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.23
4                       0.23
8                       0.23
16                      0.26
32                      0.26
64                      0.28
128                     0.32
256                     0.31
512                     0.41
1024                    0.48
2048                    0.58
4096                    1.10
8192                    1.23
16384                   1.69
32768                   2.58
65536                   3.85
131072                  6.87
262144                 15.11
524288                 28.45
1048576                82.24
2097152               275.48
4194304               583.17
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.25
2                       0.22
4                       0.22
8                       0.23
16                      0.25
32                      0.25
64                      0.27
128                     0.29
256                     0.30
512                     0.42
1024                    0.49
2048                    0.59
4096                    1.09
8192                    1.24
16384                   1.65
32768                   2.40
65536                   3.86
131072                  6.71
262144                 20.49
524288                 41.47
1048576                66.43
2097152               229.37
4194304               594.33
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.25
2                       0.25
4                       0.24
8                       0.23
16                      0.25
32                      0.25
64                      0.26
128                     0.29
256                     0.31
512                     0.46
1024                    0.50
2048                    0.59
4096                    1.08
8192                    1.25
16384                   1.70
32768                   2.50
65536                   3.88
131072                  7.09
262144                 14.10
524288                 29.64
1048576                80.67
2097152               245.88
4194304               589.53
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.26
2                       0.24
4                       0.24
8                       0.24
16                      0.26
32                      0.26
64                      0.27
128                     0.29
256                     0.32
512                     0.43
1024                    0.50
2048                    0.62
4096                    1.32
8192                    1.62
16384                   2.17
32768                   2.66
65536                   4.77
131072                  6.97
262144                 14.61
524288                 28.16
1048576                67.78
2097152               249.15
4194304               578.33
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.22
4                       0.23
8                       0.22
16                      0.25
32                      0.38
64                      0.26
128                     0.30
256                     0.29
512                     0.40
1024                    0.48
2048                    0.56
4096                    1.27
8192                    1.97
16384                   1.76
32768                   2.72
65536                   3.85
131072                  7.36
262144                 15.23
524288                 29.70
1048576                67.44
2097152               249.22
4194304               580.51
