# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.22
2                       0.22
4                       0.21
8                       0.21
16                      0.23
32                      0.23
64                      0.25
128                     0.27
256                     0.28
512                     0.45
1024                    0.56
2048                    0.59
4096                    1.17
8192                    1.44
16384                   1.68
32768                   2.26
65536                   3.65
131072                  6.84
262144                 14.95
524288                 27.54
1048576                58.71
2097152               236.39
4194304               604.46
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.22
4                       0.23
8                       0.26
16                      0.28
32                      0.25
64                      0.25
128                     0.30
256                     0.30
512                     0.43
1024                    0.50
2048                    0.56
4096                    1.06
8192                    1.22
16384                   1.72
32768                   2.69
65536                   3.94
131072                  6.82
262144                 13.68
524288                 29.28
1048576                58.71
2097152               290.32
4194304               686.23
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.95
2                       1.64
4                       0.31
8                       0.24
16                      0.31
32                      0.29
64                      1.15
128                     0.46
256                     0.53
512                     0.51
1024                    0.50
2048                    0.58
4096                    1.58
8192                    1.32
16384                   1.72
32768                   2.35
65536                   3.94
131072                  6.93
262144                 19.90
524288                 27.34
1048576                73.37
2097152               248.85
4194304               658.75
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.24
4                       0.25
8                       0.23
16                      0.26
32                      0.25
64                      0.25
128                     0.30
256                     0.30
512                     0.41
1024                    0.48
2048                    0.58
4096                    1.06
8192                    1.20
16384                   1.67
32768                   2.29
65536                   3.84
131072                  6.83
262144                 13.95
524288                 28.04
1048576                80.13
2097152               276.11
4194304               674.14
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.22
4                       0.22
8                       0.29
16                      0.24
32                      0.24
64                      0.24
128                     0.29
256                     0.30
512                     0.43
1024                    0.51
2048                    0.57
4096                    1.07
8192                    1.22
16384                   1.71
32768                   2.40
65536                   4.07
131072                  6.98
262144                 19.08
524288                 30.11
1048576                70.98
2097152               232.66
4194304               626.97
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.22
2                       0.22
4                       0.23
8                       0.24
16                      0.28
32                      0.26
64                      0.25
128                     0.29
256                     0.30
512                     0.41
1024                    0.48
2048                    0.56
4096                    1.44
8192                    1.34
16384                   1.69
32768                   2.27
65536                   3.79
131072                  6.87
262144                 14.41
524288                 61.12
1048576                69.36
2097152               232.09
4194304               624.29
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.23
2                       0.21
4                       0.36
8                       0.22
16                      0.25
32                      0.25
64                      0.24
128                     0.28
256                     0.32
512                     0.42
1024                    0.91
2048                    1.04
4096                    1.09
8192                    1.23
16384                   1.65
32768                   2.29
65536                   3.93
131072                  6.97
262144                 15.36
524288                 29.14
1048576                66.31
2097152               255.07
4194304               621.23
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.22
4                       0.23
8                       0.40
16                      0.62
32                      0.26
64                      0.73
128                     0.51
256                     0.31
512                     0.43
1024                    0.50
2048                    1.00
4096                    2.59
8192                    2.00
16384                   1.73
32768                   2.59
65536                   3.88
131072                  6.83
262144                 19.85
524288                 29.67
1048576                63.68
2097152               225.23
4194304               641.01
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.22
2                       0.21
4                       0.21
8                       0.21
16                      0.23
32                      0.23
64                      0.23
128                     0.29
256                     0.36
512                     0.47
1024                    0.51
2048                    0.57
4096                    1.06
8192                    1.23
16384                   1.67
32768                   2.43
65536                   3.88
131072                  6.96
262144                 13.80
524288                 28.76
1048576                78.05
2097152               296.62
4194304               637.28
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.22
2                       0.22
4                       0.22
8                       0.22
16                      0.25
32                      0.25
64                      0.24
128                     0.29
256                     0.31
512                     0.40
1024                    0.47
2048                    0.60
4096                    1.09
8192                    1.24
16384                   1.66
32768                   2.35
65536                   3.98
131072                  6.94
262144                 15.84
524288                 31.70
1048576                61.22
2097152               295.05
4194304               624.81
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.22
2                       0.34
4                       0.24
8                       0.22
16                      0.25
32                      0.24
64                      0.25
128                     0.28
256                     0.29
512                     0.42
1024                    0.47
2048                    0.56
4096                    1.05
8192                    1.91
16384                   1.62
32768                   2.31
65536                   3.89
131072                  6.94
262144                 14.20
524288                 30.37
1048576                68.25
2097152               222.63
4194304               606.72
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.21
4                       0.21
8                       0.22
16                      0.27
32                      0.26
64                      0.24
128                     0.31
256                     0.30
512                     0.41
1024                    0.48
2048                    0.57
4096                    1.06
8192                    1.23
16384                   1.65
32768                   2.25
65536                   3.64
131072                  6.67
262144                 16.24
524288                 32.99
1048576                66.84
2097152               274.66
4194304               609.11
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.37
2                       0.30
4                       0.23
8                       0.23
16                      0.24
32                      0.24
64                      0.24
128                     0.32
256                     0.30
512                     0.42
1024                    0.48
2048                    0.57
4096                    1.10
8192                    1.21
16384                   1.59
32768                   2.24
65536                   3.65
131072                  6.68
262144                 13.29
524288                 27.90
1048576                94.99
2097152               221.24
4194304               605.66
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.23
4                       0.22
8                       0.22
16                      0.25
32                      0.25
64                      0.24
128                     0.28
256                     0.30
512                     0.43
1024                    0.49
2048                    0.59
4096                    1.08
8192                    1.27
16384                   1.66
32768                   2.32
65536                   3.73
131072                  6.93
262144                 15.79
524288                 32.65
1048576                65.97
2097152               312.32
4194304               627.24
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.24
2                       0.22
4                       0.23
8                       0.23
16                      0.25
32                      0.24
64                      0.24
128                     0.65
256                     0.31
512                     1.84
1024                    0.57
2048                    1.92
4096                    2.02
8192                    1.35
16384                   1.84
32768                   2.53
65536                   3.72
131072                  6.77
262144                 17.15
524288                 35.14
1048576                60.53
2097152               228.70
4194304               620.42
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.25
2                       0.22
4                       0.22
8                       0.22
16                      0.24
32                      0.24
64                      0.25
128                     0.28
256                     0.30
512                     0.43
1024                    0.51
2048                    0.93
4096                    2.56
8192                    1.79
16384                   1.70
32768                   2.33
65536                   3.81
131072                  7.05
262144                 13.62
524288                 29.11
1048576                67.85
