# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      24.91
2                      27.90
4                      26.01
8                      26.12
16                     24.88
32                     25.21
64                     25.09
128                    25.10
256                    25.15
512                    27.21
1024                   25.75
2048                   35.60
4096                   38.41
8192                   39.00
16384                  41.98
32768                  51.66
65536                  70.33
131072                100.90
262144                233.08
524288                510.72
1048576              1137.90
2097152              3277.34
4194304              6631.93
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      28.48
2                      37.84
4                      37.43
8                      37.04
16                     37.78
32                     37.99
64                     37.73
128                    38.49
256                    37.75
512                    40.69
1024                   41.07
2048                   55.09
4096                   56.56
8192                   62.55
16384                  67.03
32768                  76.09
65536                 100.69
131072                138.14
262144                326.29
524288                748.90
1048576              1605.06
2097152              3169.45
4194304              6547.18
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      26.94
2                      35.34
4                      37.48
8                      37.43
16                     38.21
32                     37.43
64                     37.36
128                    40.01
256                    41.02
512                    38.32
1024                   39.48
2048                   53.21
4096                   56.12
8192                   58.57
16384                  63.22
32768                  71.75
65536                 103.86
131072                144.75
262144                330.92
524288                747.17
1048576              1597.59
2097152              3197.71
4194304              6627.36
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      25.63
2                      36.73
4                      37.92
8                      37.36
16                     37.67
32                     41.11
64                     39.79
128                    37.66
256                    37.91
512                    39.02
1024                   39.85
2048                   52.63
4096                   57.25
8192                   59.81
16384                  62.17
32768                  76.59
65536                 101.68
131072                141.23
262144                337.22
524288                791.54
1048576              1585.11
2097152              3259.37
4194304              6599.23
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      30.93
2                      37.06
4                      37.53
8                      37.10
16                     36.78
32                     39.74
64                     39.86
128                    40.47
256                    38.01
512                    37.43
1024                   39.67
2048                   54.73
4096                   58.25
8192                   57.48
16384                  60.29
32768                  75.82
65536                  98.59
131072                136.38
262144                332.42
524288                790.10
1048576              1627.71
2097152              3236.06
4194304              6643.88
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      30.65
2                      36.66
4                      36.43
8                      39.16
16                     37.27
32                     37.03
64                     41.18
128                    39.95
256                    38.75
512                    38.24
1024                   38.05
2048                   54.15
4096                   57.50
8192                   60.23
16384                  65.39
32768                  81.96
65536                 114.10
131072                146.73
262144                343.06
524288                762.65
1048576              1604.59
2097152              3214.22
4194304              6593.87
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      30.97
2                      36.24
4                      37.73
8                      38.36
16                     39.16
32                     37.47
64                     37.97
128                    41.90
256                    39.61
512                    38.67
1024                   38.85
2048                   54.79
4096                   58.86
8192                   59.50
16384                  66.24
32768                  77.39
65536                  98.93
131072                136.99
262144                320.43
524288                827.71
1048576              1628.62
2097152              3194.67
4194304              6637.88
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      30.30
2                      37.11
4                      38.08
8                      38.50
16                     37.02
32                     37.77
64                     37.69
128                    40.07
256                    40.28
512                    37.89
1024                   39.93
2048                   53.67
4096                   56.48
8192                   59.95
16384                  65.66
32768                  79.10
65536                 105.37
131072                140.16
262144                331.18
524288                759.42
1048576              1599.27
2097152              3244.36
4194304              6587.96
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      29.91
2                      38.28
4                      38.16
8                      37.18
16                     38.47
32                     38.34
64                     37.23
128                    39.29
256                    39.76
512                    39.52
1024                   39.19
2048                   52.46
4096                   58.69
8192                   62.46
16384                  65.43
32768                  76.82
65536                  99.03
131072                135.75
262144                343.85
524288                747.46
1048576              1608.68
2097152              3204.78
4194304              6626.30
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      25.27
2                      34.43
4                      39.23
8                      38.50
16                     38.44
32                     40.44
64                     38.90
128                    39.65
256                    36.98
512                    37.94
1024                   39.07
2048                   53.98
4096                   56.94
8192                   60.50
16384                  67.60
32768                  79.32
65536                  99.48
131072                144.93
262144                335.44
524288                780.44
1048576              1579.37
2097152              3274.74
4194304              6576.11
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      29.98
2                      36.77
4                      37.18
8                      38.41
16                     38.51
32                     37.76
64                     40.09
128                    40.51
256                    38.19
512                    39.21
1024                   38.85
2048                   55.49
4096                   58.63
8192                   61.66
16384                  63.97
32768                  77.21
65536                 101.34
131072                140.54
262144                324.06
524288                774.54
1048576              1585.33
2097152              3224.80
4194304              6557.66
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      26.10
2                      34.87
4                      38.34
8                      36.78
16                     39.75
32                     40.51
64                     37.23
128                    37.94
256                    38.56
512                    38.75
1024                   38.76
2048                   53.47
4096                   57.41
8192                   61.05
16384                  64.80
32768                  79.86
65536                 100.31
131072                138.06
262144                329.03
524288                775.46
1048576              1575.04
2097152              3245.99
4194304              6541.55
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      28.61
2                      37.50
4                      38.72
8                      40.49
16                     37.33
32                     38.54
64                     37.86
128                    39.15
256                    38.60
512                    40.25
1024                   38.30
2048                   54.63
4096                   60.01
8192                   63.02
16384                  67.32
32768                  78.80
65536                 104.56
131072                146.28
262144                341.61
524288                742.49
1048576              1573.72
2097152              3248.59
4194304              6599.59
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      27.49
2                      37.47
4                      38.70
8                      37.37
16                     38.11
32                     39.19
64                     38.53
128                    38.68
256                    36.99
512                    39.35
1024                   38.93
2048                   52.11
4096                   58.29
8192                   63.74
16384                  67.04
32768                  77.99
65536                  99.43
131072                138.24
262144                320.28
524288                756.73
1048576              1561.51
2097152              3257.79
4194304              6533.27
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      28.89
2                      38.65
4                      40.83
8                      37.18
16                     38.07
32                     38.53
64                     39.74
128                    37.03
256                    38.60
512                    38.28
1024                   38.42
2048                   53.66
4096                   57.03
8192                   63.31
16384                  65.26
32768                  77.45
65536                 102.19
131072                141.91
262144                323.55
524288                764.99
1048576              1555.49
2097152              3220.40
4194304              6578.24
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      28.97
2                      37.95
4                      39.60
8                      38.07
16                     37.39
32                     37.19
64                     38.39
128                    38.99
256                    37.67
512                    39.00
1024                   39.02
2048                   51.96
4096                   56.70
8192                   60.55
16384                  68.55
32768                  79.34
65536                 106.06
131072                149.41
262144                330.59
524288                749.76
1048576              1596.99
2097152              3240.56
4194304              6582.45
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      26.30
2                      37.42
4                      36.73
8                      37.42
16                     37.91
32                     39.97
64                     38.77
128                    38.09
256                    38.34
512                    39.18
1024                   41.07
2048                   52.34
4096                   57.56
8192                   63.26
16384                  63.61
32768                  74.87
65536                 105.49
131072                138.39
262144                321.89
524288                766.70
1048576              1563.75
2097152              3255.04
4194304              6501.15
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      29.01
2                      38.10
4                      37.50
8                      38.42
16                     39.21
32                     37.43
64                     37.52
128                    39.22
256                    40.21
512                    39.21
1024                   38.35
2048                   55.82
4096                   59.25
8192                   60.36
16384                  67.44
32768                  61.44
65536                  77.25
131072                100.84
262144                231.37
524288                546.31
1048576              1120.54
2097152              2363.00
4194304              5037.46
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      28.31
2                      28.86
4                      29.08
8                      29.66
16                     29.14
32                     30.43
64                     29.96
128                    31.43
256                    29.56
512                    32.14
1024                   32.62
2048                   41.29
4096                   42.09
8192                   45.40
16384                  49.08
32768                  61.17
65536                  81.22
131072                105.73
262144                253.40
524288                615.30
1048576              1233.76
2097152              2607.68
4194304              5266.24
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      27.82
2                      29.08
4                      29.81
8                      31.23
16                     31.82
32                     30.12
64                     29.42
128                    29.64
256                    30.76
512                    33.11
1024                   31.05
2048                   40.36
4096                   43.86
8192                   50.36
16384                  49.60
32768                  59.50
65536                  80.40
131072                109.76
262144                269.72
524288                624.89
1048576              1291.04
2097152              2638.42
4194304              5299.44
