Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.46]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.24]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      33.45
2                      31.98
4                      32.22
8                      31.41
16                     33.34
32                     32.08
64                     31.83
128                    31.89
256                    31.96
512                    32.11
1024                   32.21
2048                   50.44
4096                   53.76
8192                   61.26
16384                  82.94
32768                 118.68
65536                 248.01
131072                347.76
262144                477.62
524288                713.60
1048576              1170.91
2097152              2121.86
4194304              4006.04
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.48]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.25]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.57
2                      31.22
4                      31.76
8                      33.42
16                     31.48
32                     32.83
64                     31.94
128                    31.60
256                    32.16
512                    32.00
1024                   32.09
2048                   50.91
4096                   51.97
8192                   61.15
16384                  72.57
32768                 112.33
65536                 242.61
131072                343.68
262144                476.52
524288                709.37
1048576              1189.21
2097152              2135.44
4194304              4018.45
Warning: Permanently added '[osu-latency-multinode-2-worker-0.osu-latency-multinode-2.osu.svc]:2222,[10.17.1.50]:2222' (ECDSA) to the list of known hosts.
Warning: Permanently added '[osu-latency-multinode-2-worker-1.osu-latency-multinode-2.osu.svc]:2222,[10.17.0.26]:2222' (ECDSA) to the list of known hosts.
# OSU MPI Latency Test v7.3
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                      31.81
2                      32.31
4                      31.65
8                      31.50
16                     32.92
32                     32.94
64                     32.01
128                    32.31
256                    31.84
